"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2021-01-22","9","Running","","","00:40:02","","00:08:50","00:30:27","00:00:45","","","8.377","142.1","1.8","","141","159","","","","","","","","","Saucony Guide 13 TR #2","","Easy. Followed by 2hrs of building a deer fence which was tough work.",""
"2021-01-22","18","Running","","","00:32:55","","00:25:26","00:07:29","","","","6.004","101.7","1.23","","130","146","","","","","","","","","Saucony Guide 13 TR #2","","Yoge.",""
"2021-01-22","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","EUOC core.",""
"2021-01-23","9","Running","warm up/down","","00:18:03","","00:07:41","00:10:22","","","","3.593","","1.57","","134","145","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-23","9","Running","intervals","","00:34:34","","00:06:04","00:03:43","00:06:55","00:11:55","00:05:57","8.363","25.2","3.23","","161","189","","","","","","","","","Saucony Endorphin Speed","","Road reps - 8*3mins[90s]

Paces: 3.17, 16, 15, 13, 12, 14, 11, 02

With Spendog on the low road heading out of Cockermouth. Odd reps ever so slightly downhill, even reps slightly up but basically flat. A bit icy but the pavement actually turned out to be pretty okay, the only issue was there was a big section of pavement roadworks which forced us onto the road which was actually mega slippy. Realised after a few reps we could just dodge round it tho and get back on the pavement pretty quickly, so not ideal but not too much of an issue.

Anyways legs felt quite alright, and very pleased to find that pace pretty comfy, which is nice considering I haven't dropped sub 3.30s in a few months... I was wearing Saucony endorphin speed, not a carbon plate shoe but the training version, reckon it did help a bit as I only felt strained on the last rep really. 

Whatever it was, the session was a good reminder to the spudingtons of how to run fastish again. ",""
"2021-01-23","9","Running","","Strides","00:05:03","","00:00:54","00:01:29","00:02:06","00:00:34","","1.018","","2.46","","152","174","","","","","","","","","Saucony Endorphin Speed","","4 * 30s [1min]",""
"2021-01-23","9","Running","warm up/down","","00:11:34","","00:01:37","00:09:57","","","","2.215","","1.86","","139","149","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-23","17","Running","","","00:33:21","","00:27:47","00:05:34","","","","6.032","88.8","1.17","","128","144","","","","","","","","","Saucony Guide 13 TR #2","","Yog. Binned the shoes afterwards, onto destroying another pair!",""
"2021-01-24","10","Running","long","","02:03:26","","00:24:52","01:05:50","00:32:44","","","18.098","1217.6","2.06","","145","165","","","","","","","","","Saucony Peregrine 10 ST","","In the snowy fells with Spendog on a glorious day. Bloody marvelous.",""
"2021-01-25","10","Running","","","00:40:01","","00:10:07","00:29:15","00:00:39","","","8.48","111.4","1.76","","139","159","","","","","","","","","Saucony Ride iso2","","Easy. Legs feeling surprisingly very good this morning so was rolling nicely. I reckon it was the Ronhills that did it.",""
"2021-01-25","18","Running","","","00:32:29","","00:21:20","00:11:09","","","","6.011","91.5","1.34","","133","154","","","","","","","","","Saucony Ride iso2","","Plod.",""
"2021-01-25","19","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","Not EUOC core coz I had a presentation at 5.",""
"2021-01-26","9","Running","warm up/down","","00:15:01","","00:02:40","00:12:21","","","","3.11","11.8","1.82","","138","148","","","","","","","","","Saucony Ride iso2","","",""
"2021-01-26","9","Running","tempo","","00:47:05","","00:01:38","00:05:06","00:11:40","00:28:40","00:00:01","11.808","22.6","3.43","","167","180","","","","","","","","","VJ iRock 3","","Rugby Pitches Threshy - 2*10mins + 4*5mins.

With Spendog. Bit muddy but really not too bad. Felt fine, nothing special just getting it done.",""
"2021-01-26","9","Running","","Strides","00:03:39","","00:00:52","00:01:07","00:01:31","00:00:09","","0.633","1.2","2.26","","149","172","","","","","","","","","VJ iRock 3","","Skog munchers do strides; a funny sight.",""
"2021-01-26","9","Running","warm up/down","","00:09:54","","00:00:46","00:08:42","00:00:26","","","2.067","5.9","1.97","","145","156","","","","","","","","","Saucony Ride iso2","","",""
"2021-01-26","20","Running","","","00:21:37","","00:17:29","00:04:08","","","","4.006","61.9","1.19","","130","149","","","","","","","","","Saucony Ride iso2","","Jog.",""
"2021-01-27","12","Running","","","01:10:01","","00:15:36","00:46:41","00:07:44","","","13.833","366.6","1.89","","142","164","","","","","","","","","Saucony Peregrine 10 ST","","Easy lope round Setmurthy. Cloudy on the Hay which was cool. Feeling very bog standard.",""
"2021-01-27","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","Core n dat.",""
"2021-01-28","12","Running","","","00:15:56","","00:02:20","00:13:36","","","","2.297","186.1","1.85","","139","152","","","","","","","","","VJ iRock 3","","",""
"2021-01-28","12","Orienteering","","","00:39:05","","00:00:15","00:09:42","00:24:03","00:05:05","","6.981","363.7","2.87","2","160","175","20","","","","","","","","VJ iRock 3","","Sale Fell Orienteering.

Run in a okay speed, raz pace, so the mind was focused but it wasn't too much hard work. Really enjoyed it, man I love this sport :)",""
"2021-01-28","12","Running","","","00:35:29","","00:07:27","00:19:53","00:08:09","","","6.293","252.5","2.02","","145","164","","","","","","","","","VJ iRock 3","","",""
"2021-01-29","10","Running","","","00:40:32","","00:06:41","00:33:28","00:00:23","","","8.839","102.8","1.84","","140","156","","","","","","","","","Saucony Ride iso2","","Easy on roads. Feeling pretty good :)",""
"2021-01-29","18","Running","","","00:32:56","","00:24:51","00:08:05","","","","6.018","84.3","1.25","","131","147","","","","","","","","","Saucony Ride iso2","","Plod post core.",""
"2021-01-29","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-30","18","Running","","","00:32:31","","00:18:42","00:13:49","","","","6.007","88.6","1.42","","133","150","","","","","","","","","Saucony Ride iso2","","Dub.",""
"2021-01-30","11","Running","warm up/down","","00:15:44","","00:01:47","00:13:56","00:00:01","","","3.217","13.9","1.89","","139","150","","","","","","","","","Saucony Ride iso2","","",""
"2021-01-30","11","Running","tempo","","00:14:11","","00:00:09","00:00:13","00:06:39","00:07:10","","3.959","40.0","3.47","","168","178","","","","","","","","","NB Summit Unknown","","Pre hills tempo out along the old main road from Beck Whythop to Powter How and back. Drag of a hill into headwind on the way out, much nicer on the way back.",""
"2021-01-30","11","Running","hills","","00:26:45","","00:07:17","00:06:33","00:05:18","00:06:46","00:00:51","4.715","221.5","2.53","","152","182","","","","","","","","","NB Summit Unknown","","6*60s + 6*30s.

Just up the forest track. Moving fine, made sure to keep decent form the whole way instead of trying to fight the lactic near the end of reps.",""
"2021-01-30","11","Running","warm up/down","","00:17:06","","00:00:38","00:16:28","","","","3.247","13.0","1.96","","140","146","","","","","","","","","Saucony Ride iso2","","",""
"2021-01-31","10","Running","","","01:59:05","","00:26:13","00:58:55","00:33:57","","","15.639","1232.2","2.06","","145","168","","","","","","","","","VJ iRock 3","","Up in da fells cutting some rogue lines. Brilliant fun but bloody cold up top.",""
